label,mode,k,sr_mean,sr_std,sr_correct,sr_incorrect,sr_total,act_mean,act_std,act_correct,act_incorrect,act_total,traj_mean,traj_std,traj_total,traj_success,traj_violated,traj_incomplete
fov10_20c8p_r70_discriminative,semantic,0,0.936845,0.011370,233472,15643,249115,0.973214,0.006614,8175,225,8400,0.000000,0.000000,35,0,35,52
fov10_20c8p_r70_discriminative,semantic,1,0.972645,0.004988,242348,6767,249115,0.996071,0.000358,8367,33,8400,0.103175,0.090141,16,2,14,71
fov10_20c8p_r70_discriminative,semantic,2,0.984039,0.003533,245170,3945,249115,0.997619,0.001352,8380,20,8400,0.188889,0.200924,13,3,10,74
fov10_20c8p_r70_discriminative,semantic,3,0.992523,0.004305,247277,1838,249115,0.999286,0.000618,8394,6,8400,0.444444,0.509175,6,3,3,81
fov10_20c8p_r70_discriminative,semantic,4,0.995912,0.002043,248110,1005,249115,1.000000,0.000000,8400,0,8400,0.666667,0.577350,3,3,0,84
fov10_20c8p_r70_discriminative,semantic,5,0.998954,0.000405,248863,252,249115,1.000000,0.000000,8400,0,8400,0.666667,0.577350,3,3,0,84
fov10_20c8p_r70_discriminative,semantic_random,0,0.936845,0.011370,233472,15643,249115,0.973214,0.006614,8175,225,8400,0.000000,0.000000,35,0,35,52
fov10_20c8p_r70_discriminative,semantic_random,1,0.943223,0.010923,235059,14056,249115,0.975834,0.006352,8197,203,8400,0.000000,0.000000,35,0,35,52
fov10_20c8p_r70_discriminative,semantic_random,2,0.949931,0.009624,236725,12390,249115,0.980238,0.006085,8234,166,8400,0.027778,0.048112,32,1,31,55
fov10_20c8p_r70_discriminative,semantic_random,3,0.954539,0.009707,237868,11247,249115,0.983928,0.003863,8265,135,8400,0.030303,0.052486,32,1,31,55
fov10_20c8p_r70_discriminative,semantic_random,4,0.959186,0.008719,239019,10096,249115,0.984167,0.003852,8267,133,8400,0.027778,0.048112,31,1,30,56
fov10_20c8p_r70_discriminative,semantic_random,5,0.963021,0.008386,239970,9145,249115,0.986429,0.003175,8286,114,8400,0.000000,0.000000,30,0,30,57
fov10_20c8p_r70_discriminative,semantic_lna,k2=0,0.941752,0.003435,167672,10316,177988,0.971833,0.006429,5831,169,6000,0.000000,0.000000,25,0,25,38
fov10_20c8p_r70_discriminative,semantic_lna,k2=1,0.967499,0.007816,172220,5768,177988,0.983833,0.004726,5903,97,6000,0.000000,0.000000,21,0,21,42
fov10_20c8p_r70_discriminative,semantic_lna,k2=2,0.976564,0.007133,173824,4164,177988,0.984333,0.005058,5906,94,6000,0.000000,0.000000,21,0,21,42
fov10_20c8p_r70_discriminative,semantic_lna,k2=3,0.982456,0.010568,174857,3131,177988,0.984833,0.005058,5909,91,6000,0.000000,0.000000,20,0,20,43
